AQS Code,CAMS,TCEQ Region,Reg#,Site Name,Street Address,Activation Date,Owned By
480055013,5013,BEAUMONT,10,Lufkin KLFK,Angelina County Airport,02-Sep-2005,National Weather Service
480211612,1612,AUSTIN,11,CAPCOG Bastrop,25 American Legion Drive,25-Feb-2019,Capital Area Council of Governments
480211613,1613,AUSTIN,11,CAPCOG Elgin,900 E 2nd Street,25-Feb-2019,Capital Area Council of Governments
480271045,1045,WACO,9,Temple Georgia,8406 Georgia Avenue,04-Oct-2013,TCEQ
480271047,1047,WACO,9,Killeen Skylark Field,1605 Stone Tree Drive,11-Jun-2009,TCEQ
480290032,0023,SAN ANTONIO,13,San Antonio Northwest,6655 Bluebird Lane,01-Jul-1981,TCEQ
480290051,0140,SAN ANTONIO,13,San Antonio Seale,254 Seale Road,13-Jul-1994,TCEQ
480290052,0058,SAN ANTONIO,13,Camp Bullis,F Range (1000Yd marker off Wilderness Trail) Near Wilderness Rd,10-Aug-1998,TCEQ
480290053,0301,SAN ANTONIO,13,Selma,16289 North Evans Rd #2,06-Oct-1999,TCEQ
480290055,0678,SAN ANTONIO,13,CPS Pecan Valley,802 Pecan Valley Drive,11-Mar-1999,San Antonio City Public Services
480290059,0059,SAN ANTONIO,13,Calaveras Lake,14620 Laguna Rd,12-May-1998,TCEQ
480290060,,SAN ANTONIO,13,Frank Wing Municipal Court,401 South Frio St,18-May-2000,TCEQ
480290501,0501,SAN ANTONIO,13,Elm Creek Elementary,11535 Pearsall Rd,17-Jun-2002,Alamo Area Council of Governments
480290502,0502,SAN ANTONIO,13,Fair Oaks Ranch,7286 Dietz Elkhorn Rd,27-Jun-2002,Alamo Area Council of Governments
480290622,0622,SAN ANTONIO,13,Heritage Middle School,7145 Gardner Road,29-Jul-2004,San Antonio City Public Services
480290623,0623,SAN ANTONIO,13,Gardner Rd. Gas Sub-Station,9599 Gardner Road,28-Jun-2005,San Antonio City Public Services
480290625,0625,SAN ANTONIO,13,Gate 9A CPS,12941 Cassiano Road,01-Jun-2005,San Antonio City Public Services
480290626,0626,SAN ANTONIO,13,Gate 58 CPS,1100 Hildebrandt,01-Jun-2005,San Antonio City Public Services
480290676,0676,SAN ANTONIO,13,Palo Alto,9011 Poteet Jourdanton Hwy,01-Aug-2006,TCEQ
480290677,0677,SAN ANTONIO,13,Old Hwy 90,911 Old Hwy 90 West,09-Oct-2006,TCEQ
480291069,1069,SAN ANTONIO,13,San Antonio Interstate 35,9904 IH 35 N,08-Jan-2014,TCEQ
480291080,1080,SAN ANTONIO,13,San Antonio Gardner Road,7145 Gardner Road,18-Nov-2016,TCEQ
480291609,1609,SAN ANTONIO,13,Calaveras Lake Park,12965 Bernhardt Road,09-Aug-2017,San Antonio City Public Services
480291610,1610,SAN ANTONIO,13,Government Canyon,12861 Galm Rd,29-Aug-2017,Alamo Area Council of Governments
480371031,1031,TYLER,5,Texarkana New Boston,2700 New Boston Rd,23-Mar-2016,TCEQ
480390618,0618,HOUSTON,12,Danciger,FM 1459 @ County Road 924,01-Jun-2003,Brazoria County - Sweeny Industry Group
480391003,0011,HOUSTON,12,Clute,426 Commerce Street,01-Jan-1974,TCEQ
480391004,0084,HOUSTON,12,Manvel Croix Park,4503 Croix Pkwy,23-Aug-2001,TCEQ
480391012,1012,HOUSTON,12,Freeport South Avenue I,207 South Avenue I,25-May-2011,TCEQ
480391016,1016,HOUSTON,12,Lake Jackson,109B Brazoria Hwy 332 West,10-Jun-2003,TCEQ
480391607,1607,HOUSTON,12,Oyster Creek,901 County Road 792,14-Dec-2016,Freeport LNG
480415011,5011,WACO,9,College Station KCLL,Easterwood Field Airport,02-Sep-2005,National Weather Service
480430101,"0067, 0316, 0656, 0691",EL PASO,6,Bravo Big Bend,Big Bend National Park,01-Oct-1990,National Park Service
480535009,5009,AUSTIN,11,Burnet County Airport KBMQ,Burnet County Airport,17-Jun-2004,National Weather Service
480551604,1604,AUSTIN,11,Lockhart,214 Bufkin Lane,24-Apr-2014,Capital Area Council of Governments
480610006,"0080, 0180",HARLINGEN,15,Brownsville,344 Porter Drive,01-Jul-1993,TCEQ
480611023,1023,HARLINGEN,15,Harlingen Teege,1602 W Teege Avenue,09-Oct-2012,TCEQ
480612004,"0323, 0667",HARLINGEN,15,Isla Blanca State Park Road,Lot B 69 1/2,01-Aug-2005,TCEQ
480650004,0104,AMARILLO,1,Pantex 4,SW of FM 293 & FM 2373 Intersection,29-Jan-2004,TCEQ
480650005,0105,AMARILLO,1,Pantex 5,W of FM 293 & FM 2373 Intersection,13-Jan-2004,TCEQ
480650007,0079,AMARILLO,1,Pantex 7,Masterson Pump Station,12-Jul-1999,TCEQ
480710013,"0096, 0638",HOUSTON,12,Smith Point Hawkins Camp,1850 Hawkins Camp Rd,06-Sep-2000,TCEQ
480711606,1606,HOUSTON,12,UH Smith Point,450 Old Dutchman Road,15-Apr-2016,University of Houston
480850005,"0031, 0680",DALLAS/FORT WORTH,4,Frisco,6590 Hillcrest Road,07-May-1992,TCEQ
480850009,1010,DALLAS/FORT WORTH,4,Frisco Eubanks,6601 Eubanks,15-Jan-1995,TCEQ
480850029,,DALLAS/FORT WORTH,4,Frisco Stonebrook,7202 Stonebrook Parkway,07-Jan-2011,TCEQ
480910503,0503,SAN ANTONIO,13,Bulverde Elementary,1715 E Ammann Road,27-Aug-2002,Alamo Area Council of Governments
480910505,0505,SAN ANTONIO,13,City of Garden Ridge,21340 FM 3009,25-Mar-2003,Alamo Area Council of Governments
480971504,1504,DALLAS/FORT WORTH,4,Gainesville Doss Street,1112 Doss Street,01-Oct-2013,North Texas Commission
481095018,5018,EL PASO,6,Guadalupe Pass KGDP,Pine Springs,01-Aug-2005,National Weather Service
481130050,0312,DALLAS/FORT WORTH,4,Convention Center,717 South Akard,01-Jan-1979,TCEQ
481130061,,DALLAS/FORT WORTH,4,Earhart,3434 Bickers (Earhart Elem School),01-Jan-2009,TCEQ
481130069,"0060, 0161, 0401, 3002",DALLAS/FORT WORTH,4,Dallas Hinton,1415 Hinton Street,01-Jan-1986,TCEQ
481130075,"0063, 0679",DALLAS/FORT WORTH,4,Dallas North #2,12532 1/2 Nuestra Drive,02-Nov-1998,TCEQ
481130087,0402,DALLAS/FORT WORTH,4,Dallas Redbird Airport Executive,3277 W Redbird Lane,01-Jan-1995,TCEQ
481131067,1067,DALLAS/FORT WORTH,4,Dallas LBJ Freeway,8652 LBJ Freeway,01-Apr-2014,TCEQ
481131500,1500,DALLAS/FORT WORTH,4,Lancaster Cedardale,1930 Cedardale Road,01-Sep-2013,North Texas Commission
481131505,1505,DALLAS/FORT WORTH,4,Dallas Elm Fork,2171 Manana Drive,18-Nov-2013,North Texas Commission
481210034,"0056, 0157, 0163",DALLAS/FORT WORTH,4,Denton Airport South,Denton Airport South,16-Feb-1998,TCEQ
481211007,1007,DALLAS/FORT WORTH,4,Flower Mound Shiloh,4401 Shiloh Road,27-Oct-2010,North Texas Commission
481211013,1013,DALLAS/FORT WORTH,4,DISH Airfield,9800 Clark Airport Road,31-Mar-2010,North Texas Commission
481211032,1032,DALLAS/FORT WORTH,4,Pilot Point,792 E Northside Dr,04-Apr-2006,TCEQ
